"filename", "language", "JavaScript", "JSON", "MS SQL", "HTML", "PostCSS", "comment", "blank", "total"
"d:\Web Quản Lý Học Sinh\public\taikhoan.html", "HTML", 0, 0, 0, 109, 0, 0, 12, 121
"d:\Web Quản Lý Học Sinh\routes\admin.route.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\Web Quản Lý Học Sinh\routes\auth.route.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"d:\Web Quản Lý Học Sinh\routes\diem.route.js", "JavaScript", 6, 0, 0, 0, 0, 0, 3, 9
"d:\Web Quản Lý Học Sinh\routes\giaovien.route.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 13
"d:\Web Quản Lý Học Sinh\routes\hocky.route.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Web Quản Lý Học Sinh\routes\hocsinh.route.js", "JavaScript", 13, 0, 0, 0, 0, 1, 2, 16
"d:\Web Quản Lý Học Sinh\routes\lop.route.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 13
"d:\Web Quản Lý Học Sinh\routes\monhoc.route.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"d:\Web Quản Lý Học Sinh\routes\phancong.route.js", "JavaScript", 8, 0, 0, 0, 0, 1, 2, 11
"d:\Web Quản Lý Học Sinh\server.js", "JavaScript", 37, 0, 0, 0, 0, 0, 6, 43
"Total", "-", 2337, 2078, 89, 996, 181, 90, 502, 6273
